teamName,teamId,season_year,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_T,playoff_W,playoff_opponents,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_T,regular_season_opponents,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_opponents,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_opponents,away_win_pct,away_run_diff_total,away_run_diff_mean
Allen Park Inter-City Baptist,311601,2012,10,8.9,8.0,89.0,10,5.0,4.0,50.0,2.0,3.0,7.0,"[311464.0, 311214.0, 311184.0, 311022.0, 311470.0, 311050.0, 311184.0, 311615.0, 311340.0, 311340.0, 311022.0, 311470.0]",0.7,39.0,3.9000000000000004,,,,,,,,,,,,,,6.0,8.0,7.0,48.0,6.0,7.0,5.5,42.0,2.0,1.0,3.0,"[311464.0, 311214.0, 311184.0, 311022.0, 311615.0, 311470.0]",0.5,6.0,1.0,4.0,10.25,11.0,41.0,4.0,2.0,1.5,8.0,0.0,2.0,4.0,"[311470.0, 311050.0, 311184.0, 311340.0, 311340.0, 311022.0]",1.0,33.0,8.25
Allendale,311366,2012,14,7.714285714285714,7.0,108.0,14,6.785714285714286,6.0,95.0,6.0,7.0,8.0,"[311305.0, 311625.0, 311433.0, 311252.0, nan, nan, 311510.0, 311407.0, 311594.0, 311146.0, 311386.0, 311204.0, 311092.0, 311332.0, 311166.0, 311594.0, 311386.0, 311386.0, 311265.0, 311204.0, 311332.0]",0.5714285714285714,13.0,0.9285714285714288,,,,,,,,,,,,,,7.0,8.857142857142858,8.0,62.0,7.0,6.142857142857143,6.0,43.0,2.0,6.0,5.0,"[311305.0, 311625.0, nan, nan, 311510.0, 311594.0, 311386.0, 311092.0, 311332.0, 311386.0, 311386.0, 311265.0, 311204.0]",0.7142857142857143,19.0,2.7142857142857144,7.0,6.571428571428571,4.0,46.0,7.0,7.428571428571429,6.0,52.0,4.0,1.0,3.0,"[311433.0, 311252.0, 311407.0, 311146.0, 311204.0, 311166.0, 311594.0, 311332.0]",0.42857142857142855,-6.0,-0.8571428571428577
Alma,311119,2012,25,6.28,6.0,157.0,25,3.8,3.0,95.0,10.0,11.0,15.0,"[311250.0, 311250.0, 311588.0, 311588.0, 311513.0, 311226.0, 311432.0, 311432.0, 311308.0, 311308.0, 311530.0, 311530.0, 311363.0, 311363.0, 311551.0, 311551.0, 311290.0, 311160.0, 311160.0, 311597.0, 311597.0, 311264.0, 311264.0, 311472.0, 311472.0, 311057.0, 311057.0, 311007.0, 311007.0, 311071.0, 311071.0, 311209.0, 311482.0, 311296.0, 311296.0, 311597.0]",0.6,62.0,2.4800000000000004,,,,,,,,,,,,,,16.0,5.5,4.5,88.0,16.0,3.625,3.0,58.0,6.0,7.0,10.0,"[311250.0, 311250.0, 311588.0, 311588.0, 311226.0, 311308.0, 311308.0, 311363.0, 311363.0, 311160.0, 311160.0, 311597.0, 311597.0, 311264.0, 311264.0, 311007.0, 311007.0, 311071.0, 311071.0, 311482.0, 311296.0, 311296.0, 311597.0]",0.625,30.0,1.875,9.0,7.666666666666667,6.0,69.0,9.0,4.111111111111111,3.0,37.0,4.0,4.0,5.0,"[311513.0, 311432.0, 311432.0, 311530.0, 311530.0, 311551.0, 311551.0, 311290.0, 311472.0, 311472.0, 311057.0, 311057.0, 311209.0]",0.5555555555555556,32.0,3.5555555555555562
Almont,311326,2012,7,7.0,8.0,49.0,7,2.4285714285714284,1.0,17.0,2.0,4.0,5.0,"[311009.0, 311009.0, 311062.0, 311062.0, 311369.0, 311285.0, 311285.0, 311436.0, 311436.0, 311177.0, 311177.0]",0.7142857142857143,32.0,4.571428571428571,,,,,,,,,,,,,,4.0,7.0,8.0,28.0,4.0,1.0,1.0,4.0,1.0,0.0,3.0,"[311062.0, 311062.0, 311285.0, 311285.0]",0.75,24.0,6.0,3.0,7.0,7.0,21.0,3.0,4.333333333333333,2.0,13.0,1.0,4.0,2.0,"[311009.0, 311009.0, 311369.0, 311436.0, 311436.0, 311177.0, 311177.0]",0.6666666666666666,8.0,2.666666666666667
Alpena,311595,2012,10,6.2,2.0,62.0,10,5.9,3.5,59.0,6.0,9.0,4.0,"[311066.0, 311423.0, 311423.0, 311272.0, 311196.0, 311280.0, 311585.0, 311272.0, 311565.0, 311567.0, 311181.0, 311181.0, 311201.0, 311098.0, 311175.0, 311145.0, 311145.0, 311623.0, 311585.0]",0.4,3.0,0.2999999999999998,,,,,,,,,,,,,,5.0,7.6,7.0,38.0,5.0,2.4,2.0,12.0,2.0,4.0,3.0,"[311066.0, 311280.0, 311585.0, 311272.0, 311565.0, 311567.0, 311181.0, 311181.0, 311201.0]",0.6,26.0,5.199999999999999,5.0,4.8,2.0,24.0,5.0,9.4,9.0,47.0,4.0,5.0,1.0,"[311423.0, 311423.0, 311272.0, 311196.0, 311098.0, 311175.0, 311145.0, 311145.0, 311623.0, 311585.0]",0.2,-23.0,-4.6000000000000005
Ann Arbor Father Gabriel Richard,311598,2012,23,4.695652173913044,4.0,108.0,23,5.913043478260869,6.0,136.0,15.0,11.0,8.0,"[311464.0, 311464.0, 311098.0, 311098.0, 311288.0, 311288.0, 311095.0, 311095.0, 311098.0, 311098.0, 311111.0, 311111.0, 311419.0, 311419.0, 311384.0, 311384.0, 311049.0, 311049.0, 311616.0, 311616.0, 311430.0, 311430.0, 311288.0, 311288.0, 311111.0, 311111.0, 311310.0, 311049.0, 311049.0, 311419.0, 311419.0, 311616.0, 311616.0, 311314.0]",0.34782608695652173,-28.0,-1.2173913043478253,,,,,,,,,,,,,,12.0,4.833333333333333,4.5,58.0,12.0,6.583333333333333,6.0,79.0,7.0,6.0,5.0,"[311288.0, 311288.0, 311095.0, 311095.0, 311098.0, 311098.0, 311111.0, 311111.0, 311419.0, 311419.0, 311384.0, 311384.0, 311616.0, 311616.0, 311430.0, 311430.0, 311049.0, 311049.0]",0.4166666666666667,-21.0,-1.75,11.0,4.545454545454546,2.0,50.0,11.0,5.181818181818182,4.0,57.0,8.0,5.0,3.0,"[311464.0, 311464.0, 311098.0, 311098.0, 311049.0, 311049.0, 311288.0, 311288.0, 311111.0, 311111.0, 311310.0, 311419.0, 311419.0, 311616.0, 311616.0, 311314.0]",0.2727272727272727,-7.0,-0.6363636363636358
Ann Arbor Greenhills,311470,2012,15,4.0,3.0,60.0,15,10.0,10.0,150.0,10.0,5.0,5.0,"[311197.0, 311380.0, 311184.0, nan, nan, 311615.0, 311022.0, 311214.0, 311606.0, 311606.0, 311601.0, 311627.0, 311214.0, 311609.0, 311184.0, 311615.0, 311627.0, 311022.0, 311606.0, 311601.0]",0.3333333333333333,-90.0,-6.0,,,,,,,,,,,,,,7.0,3.7142857142857144,3.0,26.0,7.0,12.285714285714286,14.0,86.0,5.0,5.0,2.0,"[311380.0, nan, nan, 311615.0, 311214.0, 311606.0, 311606.0, 311601.0, 311609.0, 311184.0, 311627.0, 311022.0]",0.2857142857142857,-60.0,-8.571428571428573,8.0,4.25,3.5,34.0,8.0,8.0,8.0,64.0,5.0,0.0,3.0,"[311197.0, 311184.0, 311022.0, 311627.0, 311214.0, 311615.0, 311606.0, 311601.0]",0.375,-30.0,-3.75
Ann Arbor Huron,311077,2012,16,4.8125,4.0,77.0,16,4.375,4.0,70.0,10.0,6.0,6.0,"[311521.0, 311521.0, 311431.0, 311359.0, 311359.0, 311061.0, 311061.0, 311098.0, 311098.0, 311464.0, 311235.0, 311235.0, 311206.0, 311206.0, 311206.0, 311434.0, 311434.0, 311118.0, 311118.0, 311134.0, 311231.0, 311231.0]",0.375,7.0,0.4375,0.0,,,0.0,0.0,,,0.0,1.0,[311231.0],0.0,0.0,,6.0,6.333333333333333,7.0,38.0,6.0,3.8333333333333335,4.0,23.0,2.0,0.0,4.0,"[311431.0, 311061.0, 311061.0, 311464.0, 311235.0, 311235.0]",0.6666666666666666,15.0,2.4999999999999996,10.0,3.9,4.0,39.0,10.0,4.7,4.0,47.0,8.0,7.0,2.0,"[311521.0, 311521.0, 311359.0, 311359.0, 311098.0, 311098.0, 311206.0, 311206.0, 311206.0, 311434.0, 311434.0, 311118.0, 311118.0, 311134.0, 311231.0, 311231.0, 311231.0]",0.2,-8.0,-0.8000000000000003
Ann Arbor Pioneer,311231,2012,15,3.933333333333333,4.0,59.0,15,7.6,8.0,114.0,11.0,16.0,4.0,"[311005.0, nan, nan, 311485.0, 311485.0, 311647.0, 311647.0, 311275.0, 311464.0, 311464.0, 311206.0, 311206.0, 311501.0, 311501.0, 311095.0, 311095.0, 311042.0, 311235.0, 311235.0, 311061.0, 311061.0, 311098.0, 311098.0, 311094.0, 311077.0, 311077.0, 311434.0, 311434.0, 311474.0, 311474.0, 311118.0]",0.26666666666666666,-55.0,-3.6666666666666665,0.0,,,0.0,0.0,,,0.0,1.0,[311077.0],0.0,0.0,,5.0,3.0,3.0,15.0,5.0,9.2,8.0,46.0,4.0,14.0,1.0,"[nan, nan, 311485.0, 311485.0, 311647.0, 311647.0, 311464.0, 311464.0, 311501.0, 311501.0, 311042.0, 311061.0, 311061.0, 311094.0, 311077.0, 311077.0, 311434.0, 311434.0, 311077.0]",0.2,-31.0,-6.199999999999999,10.0,4.4,4.5,44.0,10.0,6.8,8.0,68.0,7.0,3.0,3.0,"[311005.0, 311275.0, 311206.0, 311206.0, 311095.0, 311095.0, 311235.0, 311235.0, 311098.0, 311098.0, 311474.0, 311474.0, 311118.0]",0.3,-24.0,-2.3999999999999995
Ann Arbor Skyline,311095,2012,11,4.909090909090909,7.0,54.0,11,3.727272727272727,4.0,41.0,4.0,18.0,6.0,"[311040.0, 311040.0, 311128.0, 311128.0, 311312.0, 311598.0, 311312.0, 311598.0, 311044.0, 311501.0, 311501.0, 311118.0, 311118.0, 311061.0, 311151.0, 311231.0, 311231.0, 311098.0, 311098.0, 311474.0, 311474.0, 311206.0, 311206.0, 311283.0, 311434.0, 311434.0, 311235.0, 285858.0]",0.5454545454545454,13.0,1.181818181818182,,,,,,,,,,,,,,3.0,8.0,8.0,24.0,3.0,3.0,4.0,9.0,0.0,5.0,3.0,"[311044.0, 311501.0, 311501.0, 311151.0, 311231.0, 311231.0, 311283.0, 311235.0]",1.0,15.0,5.0,8.0,3.75,2.5,30.0,8.0,4.0,3.0,32.0,4.0,13.0,3.0,"[311040.0, 311040.0, 311128.0, 311128.0, 311312.0, 311598.0, 311312.0, 311598.0, 311118.0, 311118.0, 311061.0, 311098.0, 311098.0, 311474.0, 311474.0, 311206.0, 311206.0, 311434.0, 311434.0, 285858.0]",0.375,-2.0,-0.25
Arenac Eastern,311390,2012,3,1.6666666666666667,1.0,5.0,3,7.0,8.0,21.0,3.0,1.0,0.0,"[311273.0, 311273.0, 311054.0, 311589.0]",0.0,-16.0,-5.333333333333333,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,[311054.0],,0.0,,3.0,1.6666666666666667,1.0,5.0,3.0,7.0,8.0,21.0,3.0,0.0,0.0,"[311273.0, 311273.0, 311589.0]",0.0,-16.0,-5.333333333333333
Armada,311393,2012,12,7.0,7.0,84.0,12,5.25,5.0,63.0,5.0,7.0,7.0,"[311459.0, 311519.0, 311519.0, 311539.0, 311108.0, 311177.0, 311177.0, 311200.0, 311200.0, 311079.0, 311079.0, 311306.0, 311306.0, 311436.0, 311436.0, 311062.0, 311062.0, 311285.0, 311285.0]",0.5833333333333334,21.0,1.75,,,,,,,,,,,,,,5.0,7.0,6.0,35.0,5.0,6.6,6.0,33.0,3.0,7.0,2.0,"[311459.0, 311539.0, 311177.0, 311177.0, 311200.0, 311200.0, 311306.0, 311306.0, 311436.0, 311436.0, 311285.0, 311285.0]",0.4,2.0,0.40000000000000036,7.0,7.0,8.0,49.0,7.0,4.285714285714286,4.0,30.0,2.0,0.0,5.0,"[311519.0, 311519.0, 311108.0, 311079.0, 311079.0, 311062.0, 311062.0]",0.7142857142857143,19.0,2.7142857142857144
Ashley,311543,2012,14,1.7857142857142858,1.0,25.0,14,12.785714285714286,13.0,179.0,14.0,9.0,0.0,"[311535.0, 311535.0, 311246.0, 311246.0, 311085.0, 311100.0, 311311.0, 311014.0, 311014.0, 311504.0, 311504.0, 311100.0, 311284.0, 311311.0, 311311.0, 311014.0, 311504.0, 311284.0, 311284.0, 311246.0, 311246.0, 311520.0, 311425.0]",0.0,-154.0,-11.0,,,,,,,,,,,,,,9.0,2.0,1.0,18.0,9.0,13.222222222222221,12.0,119.0,9.0,2.0,0.0,"[311014.0, 311014.0, 311504.0, 311504.0, 311311.0, 311284.0, 311284.0, 311246.0, 311246.0, 311520.0, 311425.0]",0.0,-101.0,-11.222222222222221,5.0,1.4,1.0,7.0,5.0,12.0,14.0,60.0,5.0,7.0,0.0,"[311535.0, 311535.0, 311246.0, 311246.0, 311085.0, 311100.0, 311311.0, 311100.0, 311284.0, 311311.0, 311014.0, 311504.0]",0.0,-53.0,-10.6
Athens,311422,2012,7,2.7142857142857144,3.0,19.0,7,9.714285714285714,9.0,68.0,7.0,5.0,0.0,"[311053.0, 311523.0, 311560.0, 311560.0, 311031.0, 311031.0, 311456.0, 311456.0, 311063.0, 311215.0, 311215.0, 311375.0]",0.0,-49.0,-6.999999999999999,,,,,,,,,,,,,,3.0,4.0,4.0,12.0,3.0,10.333333333333334,9.0,31.0,3.0,3.0,0.0,"[311053.0, 311523.0, 311560.0, 311560.0, 311215.0, 311215.0]",0.0,-19.0,-6.333333333333334,4.0,1.75,1.5,7.0,4.0,9.25,8.5,37.0,4.0,2.0,0.0,"[311031.0, 311031.0, 311456.0, 311456.0, 311063.0, 311375.0]",0.0,-30.0,-7.5
Atlanta,311338,2012,15,6.466666666666667,6.0,97.0,15,2.066666666666667,1.0,31.0,3.0,2.0,12.0,"[377095.0, 377095.0, 311453.0, 311453.0, 311287.0, 311448.0, 311448.0, 311562.0, 311562.0, 311273.0, 311069.0, 311069.0, 311589.0, 311589.0, 311210.0, 311273.0, 311273.0]",0.8,66.0,4.4,,,,,,,,,,,,,,10.0,6.3,5.5,63.0,10.0,1.0,0.5,10.0,1.0,1.0,9.0,"[377095.0, 377095.0, 311453.0, 311453.0, 311287.0, 311448.0, 311448.0, 311069.0, 311069.0, 311273.0, 311273.0]",0.9,53.0,5.3,5.0,6.8,6.0,34.0,5.0,4.2,4.0,21.0,2.0,1.0,3.0,"[311562.0, 311562.0, 311273.0, 311589.0, 311589.0, 311210.0]",0.6,13.0,2.5999999999999996
AuGres-Sims,311287,2012,4,4.75,0.5,19.0,4,5.25,5.0,21.0,3.0,4.0,1.0,"[311054.0, 311210.0, 311387.0, 311307.0, 311589.0, 311589.0, 311273.0, 311273.0]",0.25,-2.0,-0.5,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,3.0,0.0,"[311054.0, 311210.0, 311387.0]",,0.0,,4.0,4.75,0.5,19.0,4.0,5.25,5.0,21.0,3.0,1.0,1.0,"[311307.0, 311589.0, 311589.0, 311273.0, 311273.0]",0.25,-2.0,-0.5
Auburn Hills Avondale,311139,2012,26,7.230769230769231,5.5,188.0,26,4.0,3.5,104.0,6.0,3.0,20.0,"[311017.0, 311017.0, 311094.0, 311089.0, 311009.0, 311384.0, 311384.0, 311070.0, 311490.0, 311164.0, 311164.0, 311495.0, 311339.0, 311089.0, 311089.0, 311009.0, 311009.0, 311507.0, 311070.0, 311070.0, 311467.0, 311072.0, 311072.0, 311072.0, 311485.0, 311191.0, 311191.0, 311495.0, 311495.0]",0.7692307692307693,84.0,3.230769230769231,,,,,,,,,,,,,,18.0,7.388888888888889,6.5,133.0,18.0,3.7222222222222223,2.5,67.0,4.0,0.0,14.0,"[311384.0, 311384.0, 311070.0, 311490.0, 311164.0, 311164.0, 311339.0, 311089.0, 311089.0, 311009.0, 311009.0, 311467.0, 311072.0, 311485.0, 311191.0, 311191.0, 311495.0, 311495.0]",0.7777777777777778,66.0,3.666666666666667,8.0,6.875,5.5,55.0,8.0,4.625,4.5,37.0,2.0,3.0,6.0,"[311017.0, 311017.0, 311094.0, 311089.0, 311009.0, 311495.0, 311507.0, 311070.0, 311070.0, 311072.0, 311072.0]",0.75,18.0,2.25
